성별,나이대,옷,신발,가방,말투,메뉴,테이크아웃,일행,시간대
남,20,평상복,컨버스,백팩,존대,커피,X,무,14
여,30,평상복,운동화,무,존대,커피,O,무,14
여,20,평상복,운동화,백팩,존대,커피+디저트,X,무,14
여,40,평상복,운동화,핸드백,존대,커피,O,무,15
남,50,평상복,운동화,무,존대,커피,X,무,15
남,50,평상복,구두,무,존대,커피+디저트,X,유,15
여,50,평상복,구두,백팩,존대,커피+디저트,X,유,15
여,50,자켓,구두,핸드백,존대,커피+디저트,O,무,15
여,30,평상복,컨버스,핸드백,존대,커피,O,유,15
여,60,평상복,컨버스,무,반말,커피,X,유,15
남,60,평상복,운동화,백팩,반말,커피,X,유,15
여,30,코트,구두,핸드백,존대,커피,O,무,15
여,60,코트,구두,무,존대,커피_디저트,X,유,15
여,60,평상복,컨버스,백팩,존대,커피+디저트,X,유,15
여,20,평상복,슬리퍼,무,존대,커피,O,유,15
여,20,평상복,슬리퍼,무,존대,커피,O,유,15
여,40,평상복,운동화,무,존대,커피,O,유,15
여,20,평상복,컨버스,무,존대,커피,X,무,15
여,30,평상복,운동화,핸드백,존대,굿즈,O,무,15
남,30,평상복,운동화,무,존대,커피,O,무,15
남,20,평상복,컨버스,백팩,존대,커피,X,무,15
여,30,코트,구두,"핸드백,노트북",존대,커피,X,무,15
남,30,등산복,운동화,백팩,존대,커피+디저트,O,무,15
여,20,평상복,운동화,핸드백,존대,커피,X,무,15
여,20,평상복,운동화,핸드백,존대,굿즈,O,무,15
남,20,평상복,운동화,백팩,존대,커피,X,무,16
여,30,평상복,운동화,무,존대,커피,O,무,16
여,30,평상복,운동화,무,존대,커피,X,무,16
여,30,평상복,운동화,무,반말,커피,O,무,16
여,40,자켓,구두,핸드백,존대,커피,O,무,16
남,30,평상복,운동화,무,존대,원두,O,무,16
남,20,평상복,운동화,무,존대,커피,X,무,16
여,30,평상복,구두,무,존대,커피+디저트,X,유,16
여,30,평상복,구두,무,존대,커피+디저트,X,유,16
남,20,평상복,운동화,무,존대,커피,X,무,16
여,30,평상복,운동화,핸드백,존대,커피+디저트,X,유,16
여,30,평상복,컨버스,핸드백,존대,커피+디저트,X,유,16
여,20,평상복,슬리퍼,무,존대,커피,X,유,16
여,20,평상복,캔버스,백팩,존대,커피,O,무,16
여,20,평상복,운동화,무,존대,커피+디저트,X,유,17
여,20,평상복,운동화,무,존대,커피+디저트,X,유,17
여,30,평상복,구두,핸드백,존대,커피,X,무,17
남,20,평상복,운동화,무,존대,커피,X,유,17
남,20,평상복,운동화,무,존대,커피,X,유,17
여,30,평상복,운동화,핸드백,존대,커피,O,무,17
여,20,평상복,운동화,백팩,존대,커피+디저트,X,유,17
남,20,평상복,운동화,백팩,존대,커피+디저트,X,유,17
여,30,평상복,운동화,무,존대,커피+디저트,O,무,17
남,30,평상복,운동화,백팩,존대,커피,X,무,17
여,20,평상복,운동화,핸드백,존대,커피,X,무,18
여,20,평상복,운동화,무,존대,디저트,O,무,18
남,20,평상복,운동화,무,존대,커피+디저트,X,무,18
여,30,평상복,운동화,무,존대,커피+디저트,X,유,18
여,30,평상복,운동화,무,존대,커피+디저트,X,유,18
남,60,평상복,구두,무,존대,커피,X,유,14
여,60,평상복,구두,백팩,존대,커피,X,유,14
여,40,평상복,컨버스,무,존대,커피,O,무,14
여,40,평상복,컨버스,무,존대,커피,X,유,14
여,40,평상복,구두,무,존대,커피,X,유,14
여,30,평상복,컨버스,무,존대,커피+디저트,O,유,14
여,30,평상복,운동화,무,존대,커피+디저트,O,유,14
남,60,평상복,운동화,무,존대,커피+디저트,X,무,14
여,40,평상복,운동화,핸드백,존대,커피,O,유,14
여,40,평상복,운동화,백팩,존대,커피,O,유,14
여,20,평상복,운동화,핸드백,존대,커피+디저트,O,무,14
여,20,평상복,컨버스,핸드백,존대,커피+디저트,O,유,14
남,20,평상복,컨버스,백팩,존대,커피+디저트,O,유,14
남,70,평상복,운동화,무,존대,커피,X,유,14
남,70,평상복,운동화,무,존대,커피,X,유,14
여,40,평상복,컨버스,핸드백,존대,커피+디저트,O,무,14
여,50,평상복,컨버스,무,존대,커피+디저트,O,유,14
남,20,평상복,운동화,무,존대,커피,O,유,14
여,50,평상복,운동화,핸드백,존대,커피,O,유,14
여,60,평상복,구두,핸드백,존대,커피+디저트,X,유,15
남,20,평상복,운동화,무,존대,커피+디저트,X,유,15
여,20,평상복,슬리퍼,무,존대,커피,O,무,15
남,30,평상복,컨버스,무,존대,커피,X,유,15
남,30,평상복,운동화,무,존대,커피,X,유,15
남,20,코트,운동화,무,존대,커피,X,유,15
여,20,평상복,운동화,무,존대,커피,X,무,15
여,20,평상복,운동화,무,존대,커피,X,무,15
여,50,평상복,운동화,핸드백,반말,커피,X,유,15
여,50,평상복,구두,핸드백,반말,커피,X,유,15
여,20,평상복,슬리퍼,무,존대,커피,X,무,15
남,20,평상복,슬리퍼,무,존대,커피,O,무,15
여,30,평상복,운동화,핸드백,존대,커피,X,무,15
여,30,평상복,운동화,무,존대,커피+디저트,X,무,15
남,20,평상복,운동화,무,존대,커피,O,무,15
여,20,평상복,운동화,핸드백,존대,커피,O,무,15
여,40,평상복,구두,핸드백,존대,커피,O,무,15
남,30,평상복,슬리퍼,무,존대,커피,X,유,15
남,30,평상복,운동화,무,존대,커피,X,유,15
남,20,평상복,운동화,핸드백,존대,커피+디저트,X,무,15
남,20,코트,운동화,무,존대,굿즈,O,유,15
여,20,코트,운동화,핸드백,존대,굿즈,O,유,15
여,20,평상복,운동화,무,존대,커피+디저트,O,유,15
여,20,평상복,컨버스,무,존대,커피+디저트,O,유,15
남,20,평상복,구두,무,존대,커피,X,무,15
여,20,코트,구두,핸드백,존대,커피,O,무,15
남,30,자켓,구두,무,존대,커피,O,유,15
남,30,평상복,구두,무,존대,커피,O,유,15
여,50,평상복,운동화,핸드백,존대,커피,O,유,16
여,20,평상복,부츠,무,존대,커피,O,무,16
여,20,평상복,캔버스,핸드백,존대,커피,X,유,16
여,20,평상복,구두,핸드백,존대,커피,X,유,16
남,20,평상복,캔버스,핸드백,존대,커피,X,유,16
여,20,평상복,캔버스,무,존대,커피,X,유,16
여,20,평상복,운동화,무,존대,커피,O,무,16
여,40,평상복,운동화,백팩,존대,커피,O,무,16
남,20,평상복,운동화,핸드백,존대,커피+디저트,X,유,16
여,20,평상복,구두,핸드백,존대,커피+디저트,X,유,16
여,50,평상복,운동화,무,존대,커피,X,유,16
남,20,평상복,운동화,백팩,존대,커피,X,무,16
여,30,평상복,슬리퍼,무,존대,커피,O,무,16
여,20,평상복,슬리퍼,무,존대,커피,X,무,16
여,20,코트,구두,무,존대,커피,X,무,16
남,20,평상복,운동화,백팩,존대,커피,O,유,16
여,20,평상복,운동화,무,존대,커피,O,유,16
여,30,평상복,운동화,핸드백,존대,커피+디저트,X,유,16
여,30,평상복,운동화,핸드백,존대,커피+디저트,X,유,16
여,30,평상복,운동화,핸드백,존대,디저트,O,무,16
여,50,평상복,운동화,핸드백,존대,커피,O,무,16
남,30,정장,구두,무,존대,커피,O,무,17
남,30,정장,구두,무,존대,커피,O,무,17
남,20,평상복,운동화,무,존대,커피+디저트,O,유,17
여,20,평상복,운동화,핸드백,존대,커피+디저트,O,유,17
남,20,평상복,운동화,무,존대,디저트,O,유,17
여,20,평상복,운동화,무,존대,디저트,O,유,17
여,40,평상복,운동화,핸드백,존대,커피+디저트,,유,17
여,30,평상복,운동화,핸드백,존대,커피+디저트,,유,17
여,50,평상복,컨버스,핸드백,존대,커피,O,유,17
남,20,평상복,컨버스,핸드백,존대,커피,X,무,17
여,50,평상복,컨버스,핸드백,존대,커피,O,무,17
남,30,평상복,운동화,무,존대,커피,O,무,17
여,50,평상복,구두,핸드백,존대,커피,O,무,17
여,20,평상복,컨버스,핸드백,존대,굿즈,O,무,17
남,20,평상복,운동화,무,존대,커피,X,유,17
여,20,평상복,컨버스,무,존대,커피,X,유,17
남,50,평상복,구두,핸드백,존대,커피,X,유,17
남,20,평상복,구두,무,존대,커피,X,유,17
